width,space,ctt,cself,ctsv
6.5000000000000004e-06,2e-06,-1.995821686760878e-15,3.1871947934894958e-15,1.191373106728618e-15
6.5000000000000004e-06,2.4999999999999998e-06,-1.591996186760878e-15,3.1152382153631466e-15,1.5232420286022685e-15
6.5000000000000004e-06,2.9999999999999997e-06,-1.3227791867608783e-15,3.0665183169528002e-15,1.743739130191922e-15
6.5000000000000004e-06,3.5e-06,-1.1304813296180209e-15,3.0313085914240417e-15,1.9008272618060208e-15
6.5000000000000004e-06,4e-06,-9.862579367608781e-16,3.004666765985247e-15,2.018408829224369e-15
6.5000000000000004e-06,4.5e-06,-8.740841867608779e-16,2.983806197743523e-15,2.1097220109826453e-15
6.5000000000000004e-06,5e-06,-7.84345186760878e-16,2.967032759577378e-15,2.1826875728165e-15
6.5000000000000004e-06,5.5e-06,-7.109223685790598e-16,2.953255959548949e-15,2.242333590969889e-15
6.5000000000000004e-06,6e-06,-6.497366867608779e-16,2.941741617654962e-15,2.292004930894084e-15
6.5000000000000004e-06,6.5000000000000004e-06,-5.97964186760878e-16,2.9319771687262946e-15,2.3340129819654167e-15
6.5000000000000004e-06,7e-06,-5.535877581894494e-16,2.923593864972535e-15,2.3700061067830855e-15
6.5000000000000004e-06,7.5e-06,-5.15128186760878e-16,2.9163196356929884e-15,2.4011914489321103e-15
6.5000000000000004e-06,8e-06,-4.814760617608781e-16,2.9099493602926556e-15,2.4284732985317776e-15
6.5000000000000004e-06,8.5e-06,-4.517830102902897e-16,2.904325478163178e-15,2.4525424678728884e-15
6.5000000000000004e-06,9e-06,-4.25389186760878e-16,2.8993249688705845e-15,2.4739357821097064e-15
6.5000000000000004e-06,9.5e-06,-4.0177366044508854e-16,2.8948503867320404e-15,2.4930767262869517e-15
6.5000000000000004e-06,9.999999999999999e-06,-3.805196867608781e-16,2.8908235492056416e-15,2.5103038624447634e-15
7e-06,5e-07,-8.674474186760877e-15,4.159319597503134e-15,-4.5151545892577434e-15
7e-06,1e-06,-4.3255841867608776e-15,3.497309747237148e-15,-8.282744395237295e-16
7e-06,1.5e-06,-2.8759541867608777e-15,3.26845619690748e-15,3.925020101466023e-16
7e-06,2e-06,-2.1511391867608778e-15,3.1509410416281305e-15,9.998018548672527e-16
7e-06,2.4999999999999998e-06,-1.716250186760878e-15,3.0789772932731558e-15,1.3627271065122778e-15
7e-06,2.9999999999999997e-06,-1.4263241867608783e-15,3.0302499949178353e-15,1.603925808156957e-15
7e-06,3.5e-06,-1.219234186760878e-15,2.9950328497991887e-15,1.7757986630383106e-15
7e-06,4e-06,-1.0639166867608781e-15,2.9683836979533497e-15,1.904467011192472e-15
7e-06,4.5e-06,-9.43114186760878e-16,2.947515951833529e-15,2.004401765072651e-15
7e-06,5e-06,-8.464721867608778e-16,2.9307355079380036e-15,2.084263321177126e-15
7e-06,5.5e-06,-7.674014594881507e-16,2.9169518812717572e-15,2.1495504217836065e-15
7e-06,6e-06,-7.01509186760878e-16,2.905430890422985e-15,2.203921703662107e-15
7e-06,6.5000000000000004e-06,-6.45754186760878e-16,2.8956599649194796e-15,2.2499057781586017e-15
7e-06,7e-06,-5.9796418676087805e-16,2.8872703500985847e-15,2.2893061633377068e-15
7e-06,7.5e-06,-5.565461867608781e-16,2.879989967996077e-15,2.3234437812351987e-15
7e-06,8e-06,-5.203054367608781e-16,2.8736136909311753e-15,2.3533082541702973e-15
7e-06,8.5e-06,-4.883283044079368e-16,2.8679839516378975e-15,2.3796556472299608e-15
7e-06,9e-06,-4.59904186760878e-16,2.8629777235397375e-15,2.4030735367788592e-15
7e-06,9.5e-06,-4.3447208149772013e-16,2.8584975553323012e-15,2.424025473834581e-15
7e-06,9.999999999999999e-06,-4.1158318676087805e-16,2.854465259341432e-15,2.442882072580554e-15
